owner_beneficiary_id,entity_name,workbook_company_number,company_number,identifier_resolution,analysis_entity_id,source_filing_date,accounting_period_start,accounting_period_end,fixed_assets,property_plant_equipment,current_assets,stocks,cash,total_debtors,trade_debtors,short_term_creditors,trade_creditors,net_current_assets,total_assets_less_current_liabilities,long_term_creditors,provisions,net_assets,total_equity,retained_earnings,current_ratio,quick_ratio,cash_ratio,creditor_leverage,equity_ratio,trade_creditors_change,trade_creditors_change_pct,current_ratio_status,quick_ratio_status,cash_ratio_status,creditor_leverage_status,equity_ratio_status,trade_creditors_change_status,trade_creditors_change_pct_status
OWNER06275,Bromborough Estate Company Limited,00084840,00084840,workbook_or_known_correction,00084840,2024-07-05,,2023-01-31,3790124,2895124,6626509,482789,608114,5535606,21288,285332,54969,6341177,10131301,5160866,36282,4934153,4934153,4869153,23.223855018014103,21.531829587988728,2.131250613320623,1.1037756632191988,0.4736802189344676,,,calculated,calculated,calculated,calculated,calculated,missing_prior_or_current,missing_prior_or_current
OWNER06275,Bromborough Estate Company Limited,00084840,00084840,workbook_or_known_correction,00084840,2025-06-05,,2024-01-31,3935194,3040194,6773836,368193,871695,5533948,22340,83714,11045,6690122,10625316,5430357,92703,5102256,5102256,4464374,80.91640585804048,76.51818094942304,10.412774446329168,1.080712335876522,0.47644427179679205,-43924,-0.7990685659189725,calculated,calculated,calculated,calculated,calculated,calculated,calculated
OWNER06275,Bromborough Estate Company Limited,00084840,00084840,workbook_or_known_correction,00084840,2026-06-29,,2025-01-31,4296216,3401216,6932875,415127,920182,5597566,47123,136013,6997,6796862,11093078,5504368,140361,5448349,5448349,4810467,50.97214972098255,47.92003705528148,6.765397425246116,1.0352459066040005,0.48519946984132556,-4048,-0.3665006790402897,calculated,calculated,calculated,calculated,calculated,calculated,calculated
OWNER06275,Bromborough Estate Company Limited,00084840,00084840,workbook_or_known_correction,00084840,2026-06-29,,2026-01-31,4531369,3636369,6617782,221830,792284,5603668,4449,126573,33133,6491209,11022578,5500913,,5365312,5365312,4727430,52.28431023994059,50.53172477542604,6.259502421527498,1.0488646326625553,0.4812305439221336,26136,3.735315135057882,calculated,calculated,calculated,calculated,calculated,calculated,calculated
OWNER56770,William Love Limited,00111174,00111174,workbook_or_known_correction,00111174,2023-12-21,,2022-03-31,166986,,76839,,,,,65418,,11421,178407,14166,14696,149545,149545,,1.1745849766119416,,,0.5321742619278478,0.6133292320311698,,,calculated,missing_input,missing_input,calculated,calculated,missing_prior_or_current,missing_prior_or_current
OWNER56770,William Love Limited,00111174,00111174,workbook_or_known_correction,00111174,2024-12-07,,2023-03-31,214616,,127682,,,,,94628,,33054,247670,16733,14696,216241,216241,,1.349304645559454,,,0.5149855947761988,0.6317331681750988,,,calculated,missing_input,missing_input,calculated,calculated,missing_prior_or_current,missing_prior_or_current
OWNER56770,William Love Limited,00111174,00111174,workbook_or_known_correction,00111174,2025-10-29,,2024-03-31,200054,,57836,,,,,84173,,26337,173717,0,14696,159021,159021,,0.687108692811234,,,0.5293200269146843,0.6166233665516305,,,calculated,missing_input,missing_input,calculated,calculated,missing_prior_or_current,missing_prior_or_current
OWNER56770,William Love Limited,00111174,00111174,workbook_or_known_correction,00111174,2025-10-29,,2025-03-31,190263,,60960,,,,,54143,,6817,197080,,14696,182384,182384,,1.1259073195057532,,,,0.725984483904738,,,calculated,missing_input,missing_input,missing_input,calculated,missing_prior_or_current,missing_prior_or_current
OWNER00367,A C Gilbert And Son Limited,00128636,00128636,workbook_or_known_correction,00128636,2024-03-28,,2022-06-30,327715,,151800,,,,,42856,,108944,436659,,,,436659,,3.542094455852156,,,,,,,calculated,missing_input,missing_input,missing_input,missing_input,missing_prior_or_current,missing_prior_or_current
OWNER00367,A C Gilbert And Son Limited,00128636,00128636,workbook_or_known_correction,00128636,2025-03-19,,2023-06-30,323838,,168665,,,,,29503,,139162,463000,,,,463000,,5.716876249872894,,,,,,,calculated,missing_input,missing_input,missing_input,missing_input,missing_prior_or_current,missing_prior_or_current
OWNER00367,A C Gilbert And Son Limited,00128636,00128636,workbook_or_known_correction,00128636,2026-03-17,,2024-06-30,320410,,140086,,,,,15506,,129614,450024,,,,447294,,9.034309299625951,,,,,,,calculated,missing_input,missing_input,missing_input,missing_input,missing_prior_or_current,missing_prior_or_current
OWNER00367,A C Gilbert And Son Limited,00128636,00128636,workbook_or_known_correction,00128636,2026-03-17,,2025-06-30,322429,,139500,,,,,21431,,120468,442897,,,,440607,,6.509262283607858,,,,,,,calculated,missing_input,missing_input,missing_input,missing_input,missing_prior_or_current,missing_prior_or_current
OWNER50247,The Aire And Ouse Farms Limited,00141618,00141618,confirmed_exact,00141618,,,,,,,,,,,,,,,,,,,,,,,,,,,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period
OWNER07316,C J Fountain And Son Limited,00146353,00146353,user_rejected_original_retained,00146353,,,,,,,,,,,,,,,,,,,,,,,,,,,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period,no_accounting_period
OWNER55114,W Seabrook And Sons Limited,00150709,00150709,workbook_or_known_correction,00150709,2024-09-06,,2022-12-31,,270340,342608,118432,44135,180041,24088,124937,93452,217671,488011,,,488011,18021,425296,2.7422460920303835,1.7943123334160418,0.35325804205319483,,0.7961703113477815,,,calculated,calculated,calculated,missing_input,calculated,missing_prior_or_current,missing_prior_or_current
OWNER55114,W Seabrook And Sons Limited,00150709,00150709,workbook_or_known_correction,00150709,2025-10-02,,2023-12-31,,296660,427959,103243,104626,220090,67425,73658,51470,354301,650961,8600,,642361,18021,579646,5.810081729072198,4.408428140867251,1.4204295527980668,0.1280557194474758,0.8864810334810431,-41982,-0.44923597140778154,calculated,calculated,calculated,calculated,calculated,calculated,calculated
OWNER55114,W Seabrook And Sons Limited,00150709,00150709,workbook_or_known_correction,00150709,2025-10-02,,2024-12-31,,297243,433971,93903,146347,193721,37826,65355,51590,368616,665859,5805,,660054,18021,597339,6.6402111544640805,5.203396832683039,2.2392624894805295,0.10780936105227754,0.902682388466304,120,0.0023314552166310474,calculated,calculated,calculated,calculated,calculated,calculated,calculated
OWNER26355,John Swain Limited,00150834,00150834,workbook_or_known_correction,00150834,2024-05-07,,2022-12-31,772636,424128,1147906,191332,76434,880140,53073,234776,13854,913130,1685766,,85374,1600392,49825,1524553,4.889366885882714,4.07441135380107,0.32556138617235153,,0.8333022657145743,,,calculated,calculated,calculated,missing_input,calculated,missing_prior_or_current,missing_prior_or_current
OWNER26355,John Swain Limited,00150834,00150834,workbook_or_known_correction,00150834,2025-05-13,,2023-12-31,859016,375258,943852,126219,335882,481751,34645,96190,7212,847662,1706678,,73344,1633334,49825,1557495,9.812371348373011,8.500187129639256,3.49185986069238,,0.905964274700089,-6642,-0.4794283239497618,calculated,calculated,calculated,missing_input,calculated,calculated,calculated
OWNER26355,John Swain Limited,00150834,00150834,workbook_or_known_correction,00150834,2026-05-22,,2024-12-31,661574,155369,1893330,4427,1290061,598842,25227,382232,1981,1511098,2172672,,18750,2153922,49825,2078083,4.953352937482995,4.941770966324118,3.3750732539400157,,0.8430539855900652,-5231,-0.7253189129229063,calculated,calculated,calculated,missing_input,calculated,calculated,calculated
OWNER26355,John Swain Limited,00150834,00150834,workbook_or_known_correction,00150834,2026-05-22,,2025-12-31,684063,155369,1350671,4427,421467,929204,0,22701,0,1327970,2012033,,,2012033,49825,1936194,59.49830403946963,59.30329060393815,18.56601030791595,,0.9888432591188824,-1981,-1.0,calculated,calculated,calculated,missing_input,calculated,calculated,calculated
